"id","name","type","platform","genres","developer","publisher","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"1","688(I) Hunter/Killer","game","PC","Simulation, Strategy/Tactical","Sonalysts","Electronic Arts","1997-07-04","day","1997","7","4","8","10.88","5","24.18","2","44.28","15","15.93","8","10.88","","","",""
"18","'Splosion Man","game","Xbox 360","Action","Twisted Pixel Games","Microsoft Games Studios","2009-07-22","day","2009","7","22","32","7.8","23","9.47","7","17.62","62","8.76","32","7.8","1","9.0","",""
"19",".hack//G.U. Vol. 1: Rebirth","game","Nintendo Switch, PC, PlayStation 2, PlayStation 4","Action, Role-Playing","CyberConnect2","Bandai","2006-05-18","day","2006","5","18","76","18.52","80","23.85","25","36.53","181","23.41","76","18.52","","","",""
"20",".hack//G.U. Vol. 2: Reminisce","game","Nintendo Switch, PC, PlayStation 2, PlayStation 4","Action, Role-Playing","CyberConnect2","Bandai","2006-09-28","day","2006","9","28","41","19.82","31","29.8","16","46.38","88","26.62","41","19.82","","","",""
"21",".hack//G.U. Vol. 3: Redemption","game","Nintendo Switch, PC, PlayStation 2, PlayStation 4","Action, Role-Playing","CyberConnect2","Bandai","2007-01-18","day","2007","1","18","34","21.05","27","30.43","8","47.28","69","26.95","34","21.05","","","",""
"22",".hack//Infection","game","Emulated, PlayStation 2","Action, Role-Playing","CyberConnect2 Co., Ltd.","Bandai S.A.","2003-02-11","day","2003","2","11","67","17.01","77","20.32","29","29.24","173","20.14","67","17.01","","","",""
"23",".hack//Link","game","PlayStation Portable","Role-Playing","CyberConnect2","Namco Bandai Games","2010-03-04","day","2010","3","4","1","28.9","3","39.08","1","49.0","5","39.24","1","28.9","","","",""
"24",".hack//Mutation","game","Emulated, PlayStation 2","Action, Role-Playing","CyberConnect2","Bandai Games","2002-09-09","day","2002","9","9","26","15.09","40","20.6","18","30.1","84","20.71","26","15.09","","","",""
"25",".hack//Outbreak","game","Emulated, PlayStation 2","Action Rpg","CyberConnect2","Bandai","2002-12-12","day","2002","12","12","22","17.15","28","21.51","11","23.81","61","20.37","22","17.15","","","",""
"26",".hack//Quarantine","game","PlayStation 2","","CyberConnect2","Bandai","2003-04-10","day","2003","4","10","17","15.73","28","20.38","6","26.28","51","20.02","17","15.73","","","",""
