"id","name","type","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"178","Ace of Spades","multiplayer focused","2012-12-12","day","2012.0","12.0","12.0","","","","","","","","","","","","","","15.5"
"265","Age of Conan: Unchained","multiplayer focused","2008-05-20","day","2008.0","5.0","20.0","","","","","","","","","","","2.0","100.0","1.0","10.0"
"290","Aion","multiplayer focused","2009-09-22","day","2009.0","9.0","22.0","6.0","64.32","7.0","425.13","1.0","900.0","14.0","304.42","6.0","64.32","6.0","400.0","4.0","1495.0"
"452","Anarchy Online","multiplayer focused","2001-06-26","day","2001.0","6.0","26.0","","","1.0","200.0","","","1.0","200.0","","","","","",""
"517","APB: Reloaded","multiplayer focused","2010-06-29","day","2010.0","6.0","29.0","","","","","","","","","","","1.0","219.0","8.0","476.0"
"936","Battlefield 2142","multiplayer focused","2006-10-17","day","2006.0","10.0","17.0","","","","","","","","","","","1.0","17.0","9.0","107.0"
"1105","Blacklight: Retribution","multiplayer focused","2012-04-03","day","2012.0","4.0","3.0","","","","","","","","","","","2.0","6.0","10.0","67.5"
"1683","Chivalry: Medieval Warfare","multiplayer focused","2012-10-16","day","2012.0","10.0","16.0","","","","","","","","","","","","","","35.5"
"1727","City of Heroes","multiplayer focused","2004-04-27","day","2004.0","4.0","27.0","2.0","50.0","3.0","109.35","","","5.0","85.6","2.0","50.0","","","",""
"1820","Combat Arms","multiplayer focused","2008-07-11","day","2008.0","7.0","11.0","","","","","","","","","","","","","","635.0"
"1953","Counter-Strike(1999)","multiplayer focused","1999-06-12","day","1999.0","6.0","12.0","","","","","","","","","","","14.0","219.0","73.0","306.0"
"1954","Counter-Strike(2003)","multiplayer focused","2003-11-18","day","2003.0","11.0","18.0","","","","","","","","","","","","","","250.0"
